studentId,fullName,permanentAddress,district,province,dateOfBirth,nationalId,sex,maritalStatus,mobilePhone,whatsappNumber,emailAddress,expectedJobCategory,educationOL,educationAL,guardianContact,passportId,passportExpiredDate,spouseName,numberOfChildren,hasDrivingLicense,vehicleType,otherQualifications,workExperience,workExperienceAbroad,guardianName,admissionDate
STU111,Mahesh Dissanayake,45 Central Road Kurunegala,Kurunegala,North Western,1995-04-17,950417321V,Male,Single,0782345691,0782345691,mahesh.dissanayake@email.com,Mechanics,false,true,0785432198,P5678901,2031-09-22,,,0,true,truck,Heavy Vehicle Mechanic License,4 years in vehicle repair,1 year in Kuwait,2025-09-17
STU112,Nimali Rathnayake,67 Park Avenue Chilaw,Puttalam,North Western,1997-09-05,970905087V,Female,Single,0793456792,0793456792,nimali.rathnayake@email.com,Agriculture,true,false,0796543209,,,,,false,,,1 year in vegetable cultivation,,Kamala Rathnayake,2025-09-17
STU113,Osanda Peris,89 Church Street Negombo,Gampaha,Western,1996-02-29,960229765V,Male,Married,0704567893,0704567893,osanda.peris@email.com,Fishing,true,true,0707654320,,2030-12-08,Anusha Peris,2,true,boat,Marine Engine Repair Certificate,5 years in fishing industry,,Cyril Peris,2025-09-17
STU114,Priyanka Abeysinghe,12 Hill View Badulla,Badulla,Uva,1994-06-13,940613210V,Female,Single,0715678994,0715678994,priyanka.abeysinghe@email.com,Tea Industry,true,true,0718765431,,,,,false,,,2 years in tea plucking,,Kamani Abeysinghe,2025-09-17
STU115,Roshan Wijesekara,34 Market Street Matara,Matara,Southern,1995-12-31,951231543V,Male,Single,0726789095,0726789095,roshan.wijesekara@email.com,Construction,false,true,0729876542,,,,,true,van,Masonry Certificate,3 years in building construction,,Gunapala Wijesekara,2025-09-17
STU116,Sandamali Kodikara,56 Temple Lane Kandy,Kandy,Central,1997-03-08,970308876V,Female,Married,0737890196,0737890196,sandamali.kodikara@email.com,Education,true,false,0730987653,,2028-06-20,Thilak Kodikara,1,false,,,6 months teaching experience,,Sriyani Kodikara,2025-09-17
STU117,Thusitha Rajapakse,78 Station Road Jaffna,Jaffna,Northern,1996-08-25,960825432V,Male,Single,0748901297,0748901297,thusitha.rajapakse@email.com,Agriculture,true,true,0741098764,P6789012,2032-02-14,,,0,true,tractor,Organic Farming Certificate,2 years in vegetable farming,6 months in Australia,2025-09-17
STU118,Udari Siriwardene,90 Lake Road Kegalle,Kegalle,Sabaragamuwa,1995-01-19,950119109V,Female,Single,0759012398,0759012398,udari.siriwardene@email.com,IT,true,true,0752109875,,,,,false,,,Basic Computer Certificate,1 year in data entry,,2025-09-17
STU119,Viraj Weerasinghe,23 River Bank Polonnaruwa,Polonnaruwa,North Central,1994-05-07,940507654V,Male,Married,0760123499,0760123499,viraj.weerasinghe@email.com,Transport,true,true,0763210986,,2031-10-30,Sandya Weerasinghe,2,true,bus,Commercial Vehicle License,4 years driving experience,1 year in Qatar,Piyasena Weerasinghe,2025-09-17
STU120,Wasana Tennakoon,45 Main Road Ampara,Ampara,Eastern,1996-11-16,961116321V,Female,Single,0771234500,0771234500,wasana.tennakoon@email.com,Tailoring,false,true,0774321097,,,,,false,,,2 years in garment industry,,Mala Tennakoon,2025-09-17
STU121,Yasas Karunaratne,67 Hospital Lane Trincomalee,Trincomalee,Eastern,1997-04-02,970402087V,Male,Single,0782345701,0782345701,yasas.karunaratne@email.com,Healthcare,true,false,0785432197,,,,,true,motorcycle,First Aid Certificate,1 year as health assistant,,Sirisena Karunaratne,2025-09-17
STU122,Zenitha De Mel,89 Garden Road Ratnapura,Ratnapura,Sabaragamuwa,1995-07-21,950721765V,Female,Married,0793456802,0793456802,zenitha.demel@email.com,Gem Industry,true,true,0796543208,,2029-08-12,Asanka De Mel,1,false,,,4 years in gem polishing,,Nanda De Mel,2025-09-17
STU123,Achala Mendis,12 School Road Nuwara Eliya,Nuwara Eliya,Central,1994-12-14,941214210V,Male,Single,0704567903,0704567903,achala.mendis@email.com,Tea Industry,true,true,0707654319,P7890123,2030-04-25,,,0,true,car,Tea Tasting Certificate,5 years in tea processing,2 years in UK,2025-09-17
STU124,Dilani Gunasekara,34 Church Road Gampaha,Gampaha,Western,1996-06-30,960630543V,Female,Single,0715678904,0715678904,dilani.gunasekara@email.com,Education,true,true,0718765430,,,,,false,,,Montessori Training Certificate,2 years in preschool,,2025-09-17
STU125,Eranda Senanayake,56 Port Road Galle,Galle,Southern,1995-10-23,951023876V,Male,Married,0726789005,0726789005,eranda.senanayake@email.com,Fishing,false,true,0729876541,,2028-12-17,Shanika Senanayake,3,true,boat,Deep Sea Fishing License,7 years in fishing,1 year in Japan,Dayananda Senanayake,2025-09-17
